longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,address,zestimate/tax_value
-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,84700.0,INLAND,"39 W Indianapolis Ave, Clovis, CA 93612, USA",252166.0
-119.8,36.77,52.0,2964.0,512.0,1114.0,486.0,3.8105,87600.0,INLAND,"850 E Yale Ave, Fresno, CA 93704, USA",375352.0
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,"1737 10th St, Oakland, CA 94607, USA",774068.0
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,"4130 Webster St, Oakland, CA 94609, USA",1560027.0
-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,121400.0,NEAR BAY,"1817 55th Ave, Oakland, CA 94621, USA",510803.0
-119.71,36.81,9.0,1122.0,290.0,662.0,284.0,2.0536,55000.0,INLAND,"1724 Minnewawa Ave, Clovis, CA 93612, USA",222322.0
-122.19,37.78,52.0,1026.0,180.0,469.0,168.0,2.875,160000.0,NEAR BAY,"3216 Madera Ave, Oakland, CA 94619, USA",795461.0
-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,137000.0,NEAR BAY,"2172 Rosedale Ave, Oakland, CA 94601, USA",613459.0
-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,137500.0,NEAR BAY,"2172 Rosedale Ave, Oakland, CA 94601, USA",613459.0
-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,126800.0,NEAR BAY,"2172 Rosedale Ave, Oakland, CA 94601, USA",613459.0
-119.8,36.78,50.0,1818.0,374.0,737.0,338.0,2.2614,73000.0,INLAND,"846 E Andrews Ave, Fresno, CA 93704, USA",94803.0
-119.72,36.75,27.0,1691.0,282.0,869.0,337.0,3.9514,86900.0,INLAND,"5156 E Belmont Ave, Fresno, CA 93727, USA",237761.0
-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,142600.0,NEAR BAY,"2172 Rosedale Ave, Oakland, CA 94601, USA",613459.0
-119.71,36.8,17.0,1415.0,267.0,861.0,293.0,3.25,81400.0,INLAND,"39 W Indianapolis Ave, Clovis, CA 93612, USA",252166.0
-119.77,36.77,29.0,2554.0,705.0,2669.0,655.0,1.2176,61900.0,INLAND,"3215 Circle Ct W, Fresno, CA 93703, USA",203418.0
-119.81,36.78,52.0,2281.0,371.0,839.0,367.0,3.5972,89900.0,INLAND,"115 E Shields Ave, Fresno, CA 93704, USA",205032.0
-122.16,37.77,47.0,1256.0,,570.0,218.0,4.375,161900.0,NEAR BAY,"7833 Greenly Dr, Oakland, CA 94605, USA",789800.0
-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,156500.0,NEAR BAY,"3216 Madera Ave, Oakland, CA 94619, USA",795461.0
-119.81,36.77,49.0,1749.0,314.0,705.0,300.0,3.15,72200.0,INLAND,"128 E Yale Ave, Fresno, CA 93704, USA",51113.0
-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,164400.0,NEAR BAY,"3216 Madera Ave, Oakland, CA 94619, USA",795461.0
-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,137300.0,NEAR BAY,"2172 Rosedale Ave, Oakland, CA 94601, USA",613459.0
-119.76,36.77,36.0,2507.0,466.0,1227.0,474.0,2.785,72300.0,INLAND,"2144 Arden Dr S, Fresno, CA 93703, USA",193210.0
-119.77,36.78,36.0,3616.0,779.0,1994.0,786.0,2.5434,67300.0,INLAND,"3229 E Shields Ave, Fresno, CA 93726, USA",171192.0
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.1909999999999998,76100.0,NEAR BAY,"1737 10th St, Oakland, CA 94607, USA",774068.0
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,"1737 10th St, Oakland, CA 94607, USA",774068.0
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,"4130 Webster St, Oakland, CA 94609, USA",1560027.0
-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,121600.0,NEAR BAY,"4734 Walnut St, Oakland, CA 94619, USA",736214.0
-119.73,36.74,14.0,6202.0,1551.0,5561.0,1435.0,1.6073,64700.0,INLAND,"4938 E Laurel Ave, Fresno, CA 93727, USA",202285.0
-118.2,34.02,49.0,1098.0,317.0,1411.0,301.0,2.75,146000.0,<1H OCEAN,"3573 E 8th St, Los Angeles, CA 90023, USA",518711.0
-118.2,34.02,42.0,498.0,120.0,548.0,119.0,3.7543,126600.0,<1H OCEAN,"3573 E 8th St, Los Angeles, CA 90023, USA",518711.0
-118.2,34.02,48.0,2230.0,593.0,2419.0,598.0,2.3944,130700.0,<1H OCEAN,"3573 E 8th St, Los Angeles, CA 90023, USA",518711.0
-119.73,36.76,30.0,1548.0,282.0,886.0,311.0,3.1,71300.0,INLAND,"4950 E Leisure Ave, Fresno, CA 93727, USA",233153.0
-119.72,36.75,11.0,4832.0,993.0,2190.0,888.0,2.6611,74700.0,INLAND,"5156 E Belmont Ave, Fresno, CA 93727, USA",237761.0
-119.71,36.74,18.0,8099.0,1670.0,4476.0,1514.0,2.4728,88300.0,INLAND,"362 S Minnewawa Ave, Fresno, CA 93727, USA",294172.0
-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125,102800.0,NEAR BAY,"2172 Rosedale Ave, Oakland, CA 94601, USA",613459.0
-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,129100.0,NEAR BAY,"4734 Walnut St, Oakland, CA 94619, USA",736214.0
-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,131900.0,NEAR BAY,"1664 35th Ave, Oakland, CA 94601, USA",507717.0
-118.2,34.02,26.0,36.0,9.0,35.0,9.0,1.625,175000.0,<1H OCEAN,"3573 E 8th St, Los Angeles, CA 90023, USA",518711.0
-117.27,32.83,39.0,1877.0,426.0,805.0,409.0,3.875,410000.0,NEAR OCEAN,"6619 Aranda Ave, La Jolla, CA 92037, USA",1993224.0
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA",921232.0
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,"736 40th St, Oakland, CA 94609, USA",31891.0
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA",921232.0
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,"736 40th St, Oakland, CA 94609, USA",31891.0
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA",921232.0
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,"1737 10th St, Oakland, CA 94607, USA",774068.0
-122.17,37.78,52.0,653.0,128.0,296.0,121.0,4.175,144000.0,NEAR BAY,"6374 Sunnymere Ave, Oakland, CA 94605, USA",698897.0
-122.19,37.73,45.0,1528.0,291.0,801.0,287.0,1.2625,84700.0,NEAR BAY,"9875 Koford Rd, Oakland, CA 94603, USA",402449.0
-117.27,32.82,42.0,2820.0,488.0,1175.0,500.0,4.5083,405200.0,NEAR OCEAN,"5919 Waverly Ave, La Jolla, CA 92037, USA",3110735.0
-119.97,38.94,26.0,1485.0,334.0,406.0,180.0,1.9667,84600.0,INLAND,"3345 Cape Horn Rd, South Lake Tahoe, CA 96150, USA",330729.0
-119.73,36.73,9.0,1621.0,428.0,678.0,394.0,2.2437,54200.0,INLAND,"4975 E Butler Ave, Fresno, CA 93727, USA",230448.0
-119.73,36.72,26.0,2645.0,1005.0,1660.0,991.0,0.6991,89500.0,INLAND,"2181 S Winery Ave, Fresno, CA 93725, USA",237139.0
-119.65,36.62,6.0,1931.0,422.0,1344.0,414.0,1.6607,58000.0,INLAND,"213 S Olivia Ave, Fowler, CA 93625, USA",320757.0
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY,"1664 35th Ave, Oakland, CA 94601, USA",507717.0
-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,102300.0,NEAR BAY,"1664 35th Ave, Oakland, CA 94601, USA",507717.0
-119.74,36.65,19.0,2546.0,463.0,1257.0,418.0,2.9013,89500.0,INLAND,"2826 E Lincoln Ave, Fresno, CA 93725, USA",340398.0
