row,address
108,"114 Magnolia Ave, Piedmont, CA 94610, USA"
109,"615 Mariposa Ave, Oakland, CA 94610, USA"
186,"2246 23rd Ave, Oakland, CA 94606, USA"
60,"4080 Halleck St, Oakland, CA 94608, USA"
176,"2514 9th Ave, Oakland, CA 94606, USA"
121,"6886 Chabot Rd, Oakland, CA 94618, USA"
123,"5672 Broadway Terrace, Oakland, CA 94618, USA"
127,"6131 Thornhill Dr, Oakland, CA 94611, USA"
110,"615 Mariposa Ave, Oakland, CA 94610, USA"
18,"5321 Claremont Ave, Oakland, CA 94618, USA"
23,"812 55th St, Oakland, CA 94608, USA"
284,"6374 Sunnymere Ave, Oakland, CA 94605, USA"
678,"15058 Edgemoor St, San Leandro, CA 94579, USA"
677,"15042 Milford St, San Leandro, CA 94579, USA"
680,"15458 Farnsworth St, San Leandro, CA 94579, USA"
679,"15458 Farnsworth St, San Leandro, CA 94579, USA"
649,"787 Fulton Ave, San Leandro, CA 94577, USA"
644,"2000 Lake Chabot Rd, San Leandro, CA 94577, USA"
757,"944 Central Blvd, Hayward, CA 94542, USA"
27,"1408 66th St, Berkeley, CA 94702, USA"
